cpu(%)       	iowait(%)    	mem(MB/s)    	disk_w(MB/s) 	disk_r(MB/s) 	disk_tot(MB/s)	net_r(Mbps)  	net_s(Mbps)  	net_tot(Mbps)
4.48         	0.08         	382.95       	0.00         	0.00         	0.00         	48.24        	26.90        	75.14        
4.34         	0.00         	386.51       	0.00         	0.00         	0.00         	48.20        	26.90        	75.10        
4.49         	0.00         	398.28       	0.00         	0.00         	0.00         	48.10        	26.83        	74.94        
4.35         	0.00         	399.08       	0.01         	0.00         	0.01         	48.31        	26.96        	75.26        
4.58         	0.08         	398.18       	0.03         	0.00         	0.03         	48.49        	27.05        	75.54        
4.40         	0.00         	379.79       	0.00         	0.00         	0.00         	48.12        	26.84        	74.96        
4.34         	0.00         	383.86       	0.00         	0.00         	0.00         	48.28        	26.91        	75.19        
4.42         	0.00         	379.59       	0.00         	0.00         	0.00         	48.56        	27.09        	75.64        
4.52         	0.00         	377.28       	0.02         	0.00         	0.02         	48.45        	27.02        	75.48        
4.39         	0.00         	368.51       	0.01         	0.00         	0.01         	48.16        	26.88        	75.04        
4.44         	0.08         	396.88       	0.00         	0.00         	0.00         	48.74        	27.18        	75.92        
4.38         	0.00         	394.16       	0.00         	0.00         	0.00         	48.21        	26.89        	75.09        
4.53         	0.00         	388.75       	0.00         	0.00         	0.00         	48.40        	26.99        	75.39        
4.31         	0.00         	396.50       	0.02         	0.00         	0.02         	48.37        	26.99        	75.36        
4.46         	0.08         	366.50       	0.04         	0.00         	0.04         	48.47        	27.03        	75.49        
4.48         	0.00         	381.45       	0.00         	0.00         	0.00         	48.49        	26.99        	75.48        
4.35         	0.00         	380.53       	0.00         	0.00         	0.00         	48.38        	26.97        	75.35        
4.53         	0.00         	392.62       	0.00         	0.00         	0.00         	48.22        	26.89        	75.11        
4.43         	0.00         	396.31       	0.03         	0.00         	0.03         	48.53        	27.06        	75.59        
4.29         	0.00         	391.19       	0.01         	0.00         	0.01         	48.67        	27.14        	75.81        
4.32         	0.04         	391.98       	0.00         	0.00         	0.00         	48.28        	26.94        	75.22        
4.25         	0.00         	397.87       	0.00         	0.00         	0.00         	48.64        	27.13        	75.77        
4.39         	0.00         	394.14       	0.00         	0.00         	0.00         	48.57        	27.07        	75.64        
4.43         	0.00         	393.79       	0.01         	0.00         	0.01         	48.62        	27.09        	75.71        
4.59         	0.00         	391.96       	0.02         	0.00         	0.02         	48.45        	27.01        	75.46        
4.54         	0.04         	382.19       	0.00         	0.00         	0.00         	48.45        	27.01        	75.46        
4.33         	0.00         	353.00       	0.00         	0.00         	0.00         	48.19        	26.84        	75.03        
4.41         	0.00         	381.34       	0.00         	0.00         	0.00         	48.62        	27.11        	75.72        
4.48         	0.00         	388.01       	0.01         	0.00         	0.01         	49.00        	27.34        	76.34        
4.35         	0.04         	383.61       	0.05         	0.00         	0.05         	48.53        	27.07        	75.60        
4.47         	0.04         	395.80       	0.00         	0.00         	0.00         	48.45        	27.02        	75.47        
4.67         	0.00         	424.34       	0.00         	0.00         	0.00         	48.86        	27.25        	76.11        
4.42         	0.00         	387.89       	0.00         	0.00         	0.00         	48.46        	27.02        	75.48        
4.34         	0.00         	385.75       	0.05         	0.00         	0.05         	48.45        	27.02        	75.47        
4.29         	0.08         	369.24       	0.02         	0.00         	0.02         	48.68        	27.15        	75.83        
4.49         	0.00         	382.03       	0.00         	0.00         	0.00         	48.67        	27.12        	75.79        
4.53         	0.00         	370.29       	0.00         	0.00         	0.00         	48.49        	27.05        	75.55        
4.51         	0.00         	387.42       	0.00         	0.00         	0.00         	48.47        	27.04        	75.51        
4.50         	0.00         	383.23       	0.02         	0.00         	0.02         	48.52        	27.07        	75.60        
4.49         	0.00         	395.43       	0.02         	0.00         	0.02         	48.24        	26.91        	75.15        
4.35         	0.08         	381.98       	0.00         	0.00         	0.00         	48.57        	27.09        	75.66        
4.41         	0.00         	389.20       	0.00         	0.00         	0.00         	48.53        	27.07        	75.61        
4.45         	0.00         	390.63       	0.00         	0.00         	0.00         	48.71        	27.16        	75.86        
4.31         	0.00         	387.96       	0.01         	0.00         	0.01         	48.55        	27.06        	75.61        
4.56         	0.00         	376.87       	0.02         	0.00         	0.02         	48.31        	26.94        	75.25        
4.37         	0.04         	383.34       	0.00         	0.00         	0.00         	48.36        	26.98        	75.34        
4.48         	0.00         	390.04       	0.00         	0.00         	0.00         	48.86        	27.25        	76.10        
4.38         	0.00         	364.64       	0.00         	0.00         	0.00         	48.57        	27.09        	75.66        
4.48         	0.00         	377.32       	0.02         	0.00         	0.02         	48.55        	27.08        	75.62        
4.38         	0.04         	381.98       	0.03         	0.00         	0.03         	48.43        	27.00        	75.43        
4.38         	0.08         	376.10       	0.00         	0.00         	0.00         	48.58        	27.08        	75.66        
4.40         	0.00         	385.22       	0.00         	0.00         	0.00         	48.79        	27.18        	75.97        
4.44         	0.00         	366.96       	0.00         	0.00         	0.00         	48.37        	26.97        	75.34        
4.28         	0.00         	368.71       	0.03         	0.00         	0.03         	48.36        	26.97        	75.34        
4.56         	0.00         	385.24       	0.02         	0.00         	0.02         	48.36        	26.98        	75.34        
4.57         	0.08         	381.73       	0.00         	0.00         	0.00         	48.60        	27.12        	75.71        
4.37         	0.00         	385.39       	0.00         	0.00         	0.00         	47.97        	26.75        	74.72        
4.40         	0.00         	376.43       	0.00         	0.00         	0.00         	48.46        	27.03        	75.49        
4.34         	0.00         	390.77       	0.02         	0.00         	0.02         	48.45        	27.03        	75.48        
4.46         	0.04         	389.83       	0.02         	0.00         	0.02         	48.45        	27.02        	75.47        
4.33         	0.00         	381.91       	0.00         	0.00         	0.00         	48.40        	26.98        	75.38        
4.37         	0.00         	384.27       	0.00         	0.00         	0.00         	48.24        	26.91        	75.15        
4.59         	0.00         	392.97       	0.00         	0.00         	0.00         	48.69        	27.14        	75.83        
4.52         	0.00         	399.31       	0.01         	0.00         	0.01         	48.58        	27.09        	75.67        
4.55         	0.00         	392.89       	0.02         	0.00         	0.02         	48.90        	27.28        	76.18        
4.43         	0.04         	392.03       	0.00         	0.00         	0.00         	48.75        	27.16        	75.91        
4.26         	0.00         	373.25       	0.00         	0.00         	0.00         	48.26        	26.91        	75.17        
4.57         	0.00         	384.11       	0.00         	0.00         	0.00         	48.21        	26.89        	75.10        
4.42         	0.00         	370.37       	0.01         	0.00         	0.01         	49.11        	27.39        	76.50        
4.39         	0.08         	385.77       	0.03         	0.00         	0.03         	48.57        	27.08        	75.65        
4.49         	0.00         	371.82       	0.00         	0.00         	0.00         	48.65        	27.12        	75.77        
4.45         	0.00         	335.33       	0.00         	0.00         	0.00         	48.61        	27.12        	75.74        
4.51         	0.00         	370.15       	0.00         	0.00         	0.00         	48.80        	27.21        	76.01        
4.32         	0.00         	374.92       	0.02         	0.00         	0.02         	48.37        	26.97        	75.35        
4.45         	0.04         	368.97       	0.01         	0.00         	0.01         	48.41        	27.03        	75.45        
4.38         	0.04         	365.34       	0.00         	0.00         	0.00         	48.28        	26.92        	75.20        
4.47         	0.00         	389.47       	0.00         	0.00         	0.00         	48.17        	26.87        	75.04        
4.35         	0.00         	389.53       	0.00         	0.00         	0.00         	48.63        	27.11        	75.74        
4.60         	0.00         	377.46       	0.02         	0.00         	0.02         	48.46        	27.03        	75.49        
4.60         	0.00         	381.07       	0.04         	0.00         	0.04         	48.50        	27.05        	75.56        
4.48         	0.08         	376.41       	0.00         	0.00         	0.00         	48.29        	26.92        	75.21        
4.58         	0.00         	354.50       	0.00         	0.00         	0.00         	48.68        	27.15        	75.84        
4.46         	0.00         	389.01       	0.00         	0.00         	0.00         	48.47        	27.02        	75.49        
4.37         	0.00         	375.53       	0.02         	0.00         	0.02         	48.72        	27.14        	75.85        
4.26         	0.00         	374.95       	0.02         	0.00         	0.02         	48.08        	26.82        	74.90        
4.49         	0.00         	386.93       	0.00         	0.00         	0.00         	48.43        	27.00        	75.43        
4.35         	0.00         	379.91       	0.00         	0.00         	0.00         	48.31        	26.93        	75.25        
4.52         	0.00         	358.50       	0.00         	0.00         	0.00         	48.39        	26.97        	75.36        
4.30         	0.00         	367.51       	0.02         	0.00         	0.02         	48.18        	26.86        	75.05        
4.50         	0.04         	382.17       	0.01         	0.00         	0.01         	48.79        	27.20        	75.99        
4.39         	0.04         	370.45       	0.00         	0.00         	0.00         	48.40        	26.99        	75.40        
4.44         	0.00         	361.55       	0.00         	0.00         	0.00         	48.44        	27.03        	75.47        
4.57         	0.00         	389.28       	0.00         	0.00         	0.00         	48.44        	27.01        	75.46        
4.29         	0.00         	396.22       	0.02         	0.00         	0.02         	48.48        	27.04        	75.52        
4.22         	0.12         	392.71       	0.04         	0.00         	0.04         	48.09        	26.84        	74.93        
4.66         	0.00         	392.12       	0.00         	0.00         	0.00         	48.76        	27.18        	75.94        
4.31         	0.00         	361.62       	0.00         	0.00         	0.00         	48.51        	27.05        	75.56        
4.35         	0.00         	366.15       	0.00         	0.00         	0.00         	48.64        	27.12        	75.75        
4.39         	0.00         	352.91       	0.03         	0.00         	0.03         	48.61        	27.11        	75.72        
4.35         	0.00         	372.48       	0.01         	0.00         	0.01         	48.26        	26.90        	75.16        
4.38         	0.08         	367.94       	0.00         	0.00         	0.00         	48.11        	26.82        	74.93        
4.48         	0.00         	379.81       	0.00         	0.00         	0.00         	48.38        	26.99        	75.37        
4.35         	0.00         	356.67       	0.00         	0.00         	0.00         	48.44        	27.01        	75.45        
4.45         	0.00         	386.43       	0.01         	0.00         	0.01         	48.18        	26.87        	75.04        
4.56         	0.04         	380.92       	0.03         	0.00         	0.03         	48.58        	27.10        	75.68        
4.57         	0.00         	344.53       	0.00         	0.00         	0.00         	48.02        	26.78        	74.81        
4.59         	0.00         	365.72       	0.00         	0.00         	0.00         	48.68        	27.15        	75.83        
4.50         	0.00         	395.67       	0.00         	0.00         	0.00         	48.40        	26.98        	75.37        
4.49         	0.00         	385.30       	0.01         	0.00         	0.01         	48.27        	26.91        	75.17        
4.34         	0.04         	359.61       	0.02         	0.00         	0.02         	48.46        	27.02        	75.47        
4.52         	0.04         	375.19       	0.00         	0.00         	0.00         	48.55        	27.06        	75.62        
4.52         	0.00         	379.30       	0.00         	0.00         	0.00         	48.65        	27.12        	75.76        
4.51         	0.00         	384.17       	0.00         	0.00         	0.00         	48.61        	27.12        	75.73        
4.37         	0.00         	395.97       	0.02         	0.00         	0.02         	48.82        	27.25        	76.07        
4.45         	0.12         	383.96       	0.03         	0.00         	0.03         	48.20        	26.89        	75.09        
4.29         	0.00         	380.47       	0.00         	0.00         	0.00         	48.16        	26.86        	75.02        
4.32         	0.00         	388.18       	0.00         	0.00         	0.00         	48.43        	26.99        	75.42        
4.39         	0.00         	376.96       	0.00         	0.00         	0.00         	48.26        	26.91        	75.17        
4.43         	0.00         	377.92       	0.02         	0.00         	0.02         	48.35        	26.97        	75.31        
4.29         	0.04         	377.59       	0.03         	0.00         	0.03         	48.61        	27.10        	75.71        
4.46         	0.00         	370.79       	0.00         	0.00         	0.00         	48.10        	26.82        	74.92        
4.78         	0.00         	382.27       	0.00         	0.00         	0.00         	48.50        	27.04        	75.54        
4.41         	0.00         	381.31       	0.00         	0.00         	0.00         	48.41        	26.99        	75.40        
4.63         	0.00         	381.68       	0.01         	0.00         	0.01         	48.21        	26.88        	75.09        
4.32         	0.00         	379.74       	0.02         	0.00         	0.02         	48.15        	26.84        	74.99        
4.31         	0.04         	378.76       	0.00         	0.00         	0.00         	48.41        	26.99        	75.40        
4.44         	0.00         	385.55       	0.00         	0.00         	0.00         	48.89        	27.24        	76.13        
4.40         	0.00         	379.76       	0.00         	0.00         	0.00         	48.41        	27.00        	75.41        
4.39         	0.00         	360.30       	0.02         	0.00         	0.02         	48.30        	26.94        	75.24        
4.22         	0.00         	322.04       	0.01         	0.00         	0.01         	48.44        	27.02        	75.46        
4.44         	0.12         	387.17       	0.00         	0.00         	0.00         	48.75        	27.19        	75.94        
4.47         	0.00         	383.94       	0.00         	0.00         	0.00         	48.62        	27.10        	75.72        
4.64         	0.00         	389.67       	0.00         	0.00         	0.00         	48.64        	27.11        	75.75        
4.50         	0.00         	376.71       	0.01         	0.00         	0.01         	48.44        	27.02        	75.46        
4.29         	0.00         	384.18       	0.02         	0.00         	0.02         	48.51        	27.06        	75.57        
4.76         	0.08         	381.26       	0.00         	0.00         	0.00         	48.35        	26.97        	75.32        
4.58         	0.00         	391.50       	0.00         	0.00         	0.00         	48.72        	27.17        	75.88        
4.47         	0.00         	382.59       	0.00         	0.00         	0.00         	48.55        	27.07        	75.63        
4.35         	0.00         	388.66       	0.02         	0.00         	0.02         	48.75        	27.20        	75.95        
4.58         	0.08         	389.06       	0.02         	0.00         	0.02         	48.38        	26.97        	75.36        
4.46         	0.00         	362.39       	0.00         	0.00         	0.00         	48.26        	26.91        	75.17        
4.34         	0.00         	386.38       	0.00         	0.00         	0.00         	48.44        	27.01        	75.44        
4.36         	0.00         	380.12       	0.00         	0.00         	0.00         	48.76        	27.18        	75.94        
4.25         	0.00         	376.75       	0.02         	0.00         	0.02         	48.42        	26.99        	75.42        
4.37         	0.08         	376.58       	0.04         	0.00         	0.04         	48.34        	26.95        	75.29        
4.37         	0.00         	397.93       	0.00         	0.00         	0.00         	48.62        	27.14        	75.75        
4.38         	0.00         	368.65       	0.00         	0.00         	0.00         	48.30        	26.94        	75.24        
4.37         	0.00         	365.81       	0.00         	0.00         	0.00         	48.23        	26.88        	75.11        
4.51         	0.00         	386.73       	0.02         	0.00         	0.02         	48.38        	26.98        	75.37        
4.53         	0.08         	396.38       	0.03         	0.00         	0.03         	48.40        	26.99        	75.39        
4.65         	0.00         	374.13       	0.00         	0.00         	0.00         	48.42        	26.99        	75.41        
4.50         	0.00         	365.74       	0.00         	0.00         	0.00         	48.40        	27.00        	75.39        
4.35         	0.00         	385.06       	0.00         	0.00         	0.00         	47.85        	26.70        	74.55        
4.50         	0.00         	387.47       	0.02         	0.00         	0.02         	48.31        	26.95        	75.25        
4.48         	0.00         	382.17       	0.03         	0.00         	0.03         	48.13        	26.84        	74.98        
4.35         	0.00         	391.21       	0.00         	0.00         	0.00         	48.45        	27.04        	75.48        
4.31         	0.00         	369.19       	0.00         	0.00         	0.00         	48.46        	27.01        	75.47        
4.43         	0.00         	368.73       	0.00         	0.00         	0.00         	48.48        	27.05        	75.54        
4.36         	0.00         	389.58       	0.03         	0.00         	0.03         	48.28        	26.91        	75.19        
4.41         	0.04         	380.95       	0.02         	0.00         	0.02         	48.60        	27.07        	75.67        
4.29         	0.04         	375.97       	0.00         	0.00         	0.00         	48.37        	26.96        	75.33        
4.52         	0.00         	381.41       	0.00         	0.00         	0.00         	48.55        	27.07        	75.61        
4.47         	0.00         	392.11       	0.00         	0.00         	0.00         	48.64        	27.08        	75.72        
4.31         	0.00         	391.09       	0.01         	0.00         	0.01         	48.65        	27.13        	75.78        
4.41         	0.08         	396.29       	0.03         	0.00         	0.03         	48.65        	27.11        	75.75        
4.32         	0.00         	361.39       	0.00         	0.00         	0.00         	48.71        	27.16        	75.86        
4.48         	0.00         	385.00       	0.00         	0.00         	0.00         	48.50        	27.03        	75.53        
4.30         	0.00         	366.25       	0.00         	0.00         	0.00         	48.55        	27.07        	75.62        
4.26         	0.00         	357.20       	0.02         	0.00         	0.02         	48.15        	26.84        	74.99        
4.50         	0.00         	369.07       	0.01         	0.00         	0.01         	48.80        	27.22        	76.02        
4.39         	0.04         	381.43       	0.00         	0.00         	0.00         	48.30        	26.93        	75.23        
4.21         	0.00         	377.70       	0.00         	0.00         	0.00         	48.56        	27.09        	75.65        
4.59         	0.00         	386.03       	0.00         	0.00         	0.00         	48.38        	27.00        	75.38        
4.51         	0.00         	394.35       	0.01         	0.00         	0.01         	48.49        	27.04        	75.53        
4.60         	0.11         	379.22       	0.03         	0.00         	0.03         	48.57        	27.07        	75.64        
4.47         	0.00         	382.11       	0.00         	0.00         	0.00         	48.37        	26.97        	75.33        
4.44         	0.00         	375.25       	0.00         	0.00         	0.00         	48.24        	26.91        	75.16        
4.49         	0.00         	392.31       	0.00         	0.00         	0.00         	48.65        	27.14        	75.79        
4.33         	0.00         	379.95       	0.02         	0.00         	0.02         	48.61        	27.11        	75.72        
4.34         	0.00         	381.00       	0.02         	0.00         	0.02         	48.20        	26.86        	75.06        
4.34         	0.04         	385.58       	0.00         	0.00         	0.00         	48.52        	27.05        	75.57        
4.33         	0.00         	381.65       	0.00         	0.00         	0.00         	48.44        	27.03        	75.47        
4.53         	0.00         	383.44       	0.00         	0.00         	0.00         	48.79        	27.21        	76.00        
4.28         	0.00         	361.38       	0.02         	0.00         	0.02         	48.46        	27.03        	75.49        
4.56         	0.04         	354.43       	0.02         	0.00         	0.02         	47.96        	26.75        	74.71        
4.48         	0.08         	359.72       	0.00         	0.00         	0.00         	48.21        	26.89        	75.10        
4.55         	0.00         	387.77       	0.00         	0.00         	0.00         	48.66        	27.14        	75.79        
4.45         	0.00         	382.14       	0.00         	0.00         	0.00         	47.97        	26.74        	74.70        
4.39         	0.00         	391.08       	0.01         	0.00         	0.01         	48.66        	27.14        	75.80        
4.43         	0.00         	377.87       	0.02         	0.00         	0.02         	48.47        	27.04        	75.51        
4.54         	0.04         	387.68       	0.00         	0.00         	0.00         	48.55        	27.10        	75.65        
4.31         	0.00         	377.63       	0.00         	0.00         	0.00         	48.90        	27.29        	76.18        
4.46         	0.00         	368.06       	0.00         	0.00         	0.00         	48.18        	26.88        	75.06        
4.38         	0.00         	389.85       	0.02         	0.00         	0.02         	48.37        	26.98        	75.35        
4.54         	0.00         	378.86       	0.01         	0.00         	0.01         	48.39        	26.99        	75.38        
4.48         	0.08         	388.06       	0.00         	0.00         	0.00         	48.39        	26.97        	75.36        
4.34         	0.00         	374.82       	0.00         	0.00         	0.00         	48.18        	26.87        	75.05        
4.31         	0.00         	382.67       	0.00         	0.00         	0.00         	48.32        	26.96        	75.28        
4.43         	0.00         	375.17       	0.01         	0.00         	0.01         	48.49        	27.05        	75.55        
4.53         	0.08         	396.22       	0.03         	0.00         	0.03         	48.28        	26.93        	75.21        
4.29         	0.00         	391.16       	0.00         	0.00         	0.00         	48.21        	26.90        	75.11        
4.48         	0.00         	383.80       	0.00         	0.00         	0.00         	48.56        	27.07        	75.63        
4.38         	0.00         	381.19       	0.00         	0.00         	0.00         	48.59        	27.09        	75.68        
4.32         	0.00         	370.79       	0.01         	0.00         	0.01         	48.31        	26.95        	75.26        
4.40         	0.00         	381.36       	0.02         	0.00         	0.02         	48.55        	27.08        	75.63        
4.62         	0.08         	392.00       	0.00         	0.00         	0.00         	48.37        	26.97        	75.34        
4.24         	0.00         	367.40       	0.00         	0.00         	0.00         	48.52        	27.06        	75.58        
4.42         	0.00         	375.51       	0.00         	0.00         	0.00         	48.33        	26.95        	75.28        
4.38         	0.00         	390.14       	0.03         	0.00         	0.03         	47.85        	26.70        	74.55        
4.58         	0.08         	397.47       	0.03         	0.00         	0.03         	48.41        	27.01        	75.42        
4.41         	0.00         	354.53       	0.00         	0.00         	0.00         	48.37        	26.97        	75.34        
4.39         	0.00         	362.69       	0.00         	0.00         	0.00         	48.59        	27.10        	75.69        
4.32         	0.00         	354.51       	0.00         	0.00         	0.00         	48.57        	27.09        	75.66        
4.37         	0.00         	363.78       	0.03         	0.00         	0.03         	48.39        	27.00        	75.39        
4.37         	0.00         	366.70       	0.02         	0.00         	0.02         	48.35        	26.97        	75.31        
4.29         	0.08         	368.21       	0.00         	0.00         	0.00         	48.22        	26.91        	75.13        
4.03         	0.00         	378.46       	0.00         	0.00         	0.00         	48.28        	26.90        	75.18        
4.41         	0.00         	386.83       	0.00         	0.00         	0.00         	48.50        	27.06        	75.56        
4.46         	0.00         	381.04       	0.02         	0.00         	0.02         	48.14        	26.84        	74.98        
4.35         	0.08         	366.98       	0.02         	0.00         	0.02         	48.26        	26.93        	75.19        
4.42         	0.00         	355.92       	0.00         	0.00         	0.00         	48.34        	26.97        	75.31        
