ipc          	l1i_miss     	l2_miss      	l3_miss      	cache_miss   
0.42         	55.83        	56.19        	56.14        	44.33        
0.44         	55.73        	56.09        	56.03        	44.43        
0.44         	55.92        	56.12        	56.23        	44.45        
0.43         	55.80        	56.02        	56.08        	44.44        
0.44         	55.79        	56.05        	56.09        	44.39        
0.45         	55.76        	55.99        	56.04        	44.45        
0.44         	55.89        	56.12        	56.21        	44.32        
0.45         	55.78        	56.15        	56.11        	44.37        
0.44         	55.83        	56.02        	56.14        	44.43        
0.44         	55.73        	56.03        	56.03        	44.43        
0.43         	55.66        	56.02        	55.96        	44.45        
0.44         	55.67        	56.00        	56.00        	44.45        
0.44         	55.82        	56.17        	56.15        	44.26        
0.44         	55.69        	56.12        	56.02        	44.35        
0.45         	55.78        	56.12        	56.08        	44.29        
0.44         	55.75        	55.97        	56.06        	44.48        
0.43         	55.90        	56.15        	56.24        	44.19        
0.43         	55.69        	56.13        	56.00        	44.44        
0.44         	55.88        	56.10        	56.20        	44.26        
0.45         	55.68        	55.92        	55.96        	44.47        
0.44         	55.76        	55.98        	56.06        	44.48        
0.46         	55.67        	55.93        	56.00        	44.52        
0.44         	55.74        	55.97        	56.06        	44.50        
0.42         	55.60        	56.22        	55.92        	44.57        
0.44         	55.61        	56.02        	55.93        	44.49        
0.44         	55.85        	56.04        	56.16        	44.37        
0.43         	55.61        	56.17        	55.94        	44.46        
0.43         	55.83        	56.05        	56.14        	44.24        
0.44         	55.81        	56.03        	56.13        	44.47        
0.44         	55.71        	56.06        	56.01        	44.45        
0.44         	55.79        	56.00        	56.10        	44.37        
0.43         	55.65        	56.01        	55.96        	44.46        
0.43         	55.95        	56.18        	56.14        	44.33        
0.42         	55.86        	56.08        	56.19        	44.42        
0.45         	55.75        	56.03        	56.05        	44.43        
0.44         	55.53        	56.18        	55.86        	44.58        
0.43         	55.66        	56.00        	55.95        	44.47        
0.44         	55.71        	55.99        	56.03        	44.43        
0.44         	55.80        	56.05        	56.13        	44.40        
0.44         	55.84        	56.05        	56.17        	44.34        
0.44         	55.83        	56.04        	56.16        	44.33        
0.45         	55.96        	56.19        	56.20        	44.19        
0.42         	55.74        	56.31        	56.01        	44.57        
0.44         	55.64        	55.99        	55.97        	44.44        
0.44         	55.61        	56.20        	55.91        	44.50        
0.44         	55.75        	56.24        	56.07        	44.37        
0.44         	55.89        	56.19        	56.16        	44.14        
0.43         	55.98        	56.23        	56.15        	44.13        
0.43         	55.83        	56.07        	56.16        	44.41        
0.43         	55.73        	56.09        	56.02        	44.50        
0.44         	55.69        	55.93        	56.01        	44.50        
0.43         	55.85        	56.11        	56.19        	44.22        
0.44         	55.74        	56.02        	56.05        	44.38        
0.44         	55.83        	56.03        	56.14        	44.32        
0.44         	55.89        	56.10        	56.21        	44.28        
0.44         	55.75        	56.00        	56.03        	44.47        
0.43         	55.91        	56.16        	56.23        	44.27        
0.44         	55.79        	56.01        	56.10        	44.27        
0.45         	55.77        	56.19        	56.09        	44.32        
0.44         	55.72        	56.00        	56.04        	44.34        
0.44         	55.83        	56.04        	56.15        	44.33        
0.45         	55.69        	55.94        	55.98        	44.51        
0.44         	55.80        	56.01        	56.11        	44.44        
0.44         	55.80        	56.03        	56.12        	44.42        
0.44         	55.77        	56.05        	56.07        	44.40        
0.44         	55.77        	56.00        	56.09        	44.43        
0.45         	55.82        	56.04        	56.12        	44.31        
0.44         	55.64        	56.26        	55.95        	44.51        
0.44         	55.70        	56.20        	56.04        	44.36        
0.44         	55.87        	56.10        	56.19        	44.26        
0.44         	55.90        	56.15        	56.23        	44.20        
0.43         	55.82        	56.06        	56.13        	44.38        
0.43         	55.94        	56.19        	55.95        	44.15        
0.44         	55.67        	56.28        	55.96        	44.52        
0.43         	55.81        	56.14        	56.14        	44.36        
0.43         	55.96        	56.21        	56.17        	44.15        
0.44         	55.85        	56.08        	56.18        	44.36        
0.43         	55.68        	55.92        	55.99        	44.52        
0.42         	55.61        	56.11        	55.92        	44.45        
0.44         	55.88        	56.12        	56.21        	44.23        
0.45         	55.86        	56.06        	56.16        	44.44        
0.45         	55.78        	56.00        	56.08        	44.46        
0.45         	55.85        	56.04        	56.14        	44.47        
0.44         	55.78        	56.04        	56.09        	44.39        
0.45         	55.92        	56.16        	56.21        	44.42        
0.44         	55.75        	55.98        	56.02        	44.49        
0.42         	55.73        	55.98        	56.07        	44.50        
0.43         	55.82        	56.09        	56.12        	44.39        
0.45         	55.78        	56.00        	56.09        	44.52        
0.44         	55.76        	55.98        	56.07        	44.40        
0.41         	55.79        	56.09        	56.11        	44.36        
0.45         	55.77        	56.06        	56.07        	44.43        
0.43         	55.78        	56.12        	56.10        	44.40        
0.43         	55.69        	56.06        	56.00        	44.43        
0.44         	55.65        	56.11        	55.97        	44.40        
0.45         	55.62        	56.00        	55.94        	44.45        
0.42         	55.63        	55.98        	55.96        	44.50        
0.45         	55.67        	55.92        	55.99        	44.48        
0.44         	55.78        	56.00        	56.09        	44.45        
0.44         	55.66        	56.01        	55.97        	44.43        
0.43         	55.71        	56.19        	56.06        	44.36        
0.43         	55.81        	56.03        	56.13        	44.43        
0.45         	55.84        	56.09        	56.18        	44.41        
0.44         	55.69        	56.02        	56.01        	44.48        
0.44         	55.85        	56.14        	56.17        	44.18        
0.44         	55.74        	56.04        	56.04        	44.43        
0.43         	55.90        	56.17        	56.22        	44.22        
0.44         	55.73        	55.97        	56.02        	44.47        
0.43         	55.70        	56.05        	56.01        	44.42        
0.43         	55.66        	55.96        	55.98        	44.46        
0.43         	55.92        	56.17        	56.02        	44.17        
0.45         	55.67        	55.99        	55.98        	44.44        
0.44         	55.85        	56.15        	56.01        	44.30        
0.44         	55.69        	56.07        	56.00        	44.42        
0.38         	55.58        	56.01        	55.91        	44.45        
0.38         	55.76        	56.12        	56.10        	44.27        
0.40         	55.74        	56.05        	56.07        	44.24        
0.45         	55.74        	56.07        	56.02        	44.50        
0.45         	55.77        	56.08        	56.09        	44.39        
0.42         	55.71        	56.04        	56.03        	44.44        
0.44         	55.71        	55.97        	56.01        	44.52        
0.43         	55.77        	55.98        	56.06        	44.48        
0.44         	55.72        	55.95        	56.04        	44.48        
0.44         	55.67        	56.27        	55.97        	44.49        
0.45         	55.66        	55.93        	55.94        	44.46        
0.44         	55.77        	56.07        	56.10        	44.41        
0.45         	55.74        	56.18        	56.08        	44.33        
0.44         	55.73        	56.02        	56.03        	44.46        
0.44         	55.89        	56.16        	56.22        	44.20        
0.44         	55.53        	56.14        	55.86        	44.54        
0.43         	55.81        	56.04        	56.13        	44.31        
0.41         	55.88        	56.12        	56.21        	44.32        
0.44         	55.82        	56.06        	56.15        	44.23        
0.43         	55.84        	56.06        	56.18        	44.52        
0.44         	55.60        	56.25        	55.92        	44.50        
0.42         	55.81        	56.05        	56.14        	44.29        
0.44         	55.68        	55.91        	56.01        	44.49        
0.45         	55.83        	56.06        	56.17        	44.25        
0.44         	55.84        	56.09        	56.15        	44.41        
0.44         	55.92        	56.17        	56.25        	44.20        
0.45         	55.61        	55.97        	55.93        	44.45        
0.45         	55.75        	55.95        	56.04        	44.50        
0.44         	55.71        	56.16        	56.04        	44.42        
0.44         	55.89        	56.16        	56.19        	44.42        
0.44         	55.81        	56.03        	56.12        	44.41        
0.44         	55.69        	56.04        	56.01        	44.43        
0.45         	55.60        	56.13        	55.91        	44.49        
0.44         	55.86        	56.09        	56.20        	44.21        
0.44         	55.82        	56.06        	56.14        	44.27        
0.43         	55.82        	56.06        	56.15        	44.44        
0.43         	55.67        	56.13        	55.99        	44.44        
0.42         	55.81        	56.14        	56.11        	44.25        
0.44         	55.62        	55.91        	55.95        	44.50        
0.44         	55.64        	55.99        	55.97        	44.45        
0.45         	55.87        	56.05        	56.17        	44.50        
0.43         	55.89        	56.12        	56.21        	44.32        
0.44         	55.73        	56.04        	56.04        	44.43        
0.44         	55.93        	56.17        	56.21        	44.27        
0.44         	55.74        	56.13        	56.05        	44.36        
0.43         	55.78        	56.04        	56.11        	44.25        
0.44         	55.62        	56.12        	55.95        	44.45        
0.43         	55.66        	56.08        	55.97        	44.47        
0.43         	55.60        	56.19        	55.94        	44.45        
0.44         	55.73        	55.98        	56.03        	44.43        
0.44         	55.60        	56.13        	55.94        	44.41        
0.44         	55.63        	56.01        	55.95        	44.47        
0.43         	55.92        	56.16        	56.24        	44.26        
0.45         	55.60        	55.97        	55.92        	44.44        
0.44         	55.91        	56.16        	56.23        	44.24        
0.44         	55.81        	56.10        	56.13        	44.41        
0.44         	55.93        	56.20        	56.06        	44.14        
0.44         	55.54        	56.19        	55.87        	44.60        
0.44         	55.74        	56.00        	56.04        	44.46        
0.43         	55.85        	56.09        	56.18        	44.26        
0.44         	55.81        	56.06        	56.15        	44.22        
0.44         	55.80        	56.16        	56.11        	44.33        
0.44         	55.65        	56.01        	55.92        	44.42        
0.45         	55.85        	56.09        	56.19        	44.35        
0.44         	55.64        	56.05        	55.95        	44.43        
0.44         	55.69        	56.32        	56.01        	44.48        
0.45         	55.76        	56.00        	56.07        	44.40        
0.44         	55.82        	56.05        	56.15        	44.42        
0.43         	55.71        	56.07        	56.03        	44.40        
0.43         	55.81        	56.02        	56.11        	44.31        
0.45         	55.84        	56.06        	56.16        	44.34        
0.46         	55.88        	56.15        	56.21        	44.23        
0.45         	55.76        	56.01        	56.09        	44.42        
0.45         	55.65        	55.99        	55.97        	44.46        
0.45         	55.85        	56.08        	56.17        	44.40        
0.44         	55.63        	55.95        	55.96        	44.47        
0.44         	55.58        	56.00        	55.91        	44.46        
0.44         	55.71        	55.96        	56.02        	44.45        
0.45         	55.70        	56.10        	56.01        	44.49        
0.43         	55.82        	56.04        	56.14        	44.22        
0.43         	55.54        	56.18        	55.88        	44.48        
0.44         	55.88        	56.16        	56.17        	44.27        
0.43         	55.62        	55.98        	55.94        	44.48        
0.46         	55.66        	55.92        	55.98        	44.53        
0.45         	55.74        	56.05        	55.96        	44.36        
0.44         	55.70        	55.99        	56.00        	44.45        
0.43         	55.62        	56.21        	55.94        	44.53        
0.42         	55.75        	56.00        	56.04        	44.45        
0.43         	55.92        	56.16        	56.05        	44.19        
0.42         	55.69        	56.01        	55.99        	44.46        
0.43         	55.73        	56.03        	56.05        	44.46        
0.44         	55.66        	55.99        	55.97        	44.47        
0.43         	55.74        	56.21        	56.06        	44.42        
0.44         	55.93        	56.19        	56.26        	44.15        
0.43         	55.88        	56.14        	56.22        	44.19        
0.44         	55.67        	56.06        	55.99        	44.47        
0.44         	55.46        	56.13        	55.79        	44.59        
0.44         	55.70        	56.07        	55.95        	44.33        
0.43         	55.83        	56.09        	56.15        	44.40        
0.44         	55.59        	56.18        	55.92        	44.49        
0.44         	55.80        	56.02        	56.11        	44.46        
0.44         	55.81        	56.02        	56.11        	44.48        
0.45         	55.52        	56.18        	55.85        	44.57        
0.42         	55.69        	56.08        	56.02        	44.41        
0.45         	55.81        	56.07        	56.15        	44.24        
0.41         	55.80        	56.05        	56.14        	44.22        
0.45         	55.78        	56.01        	55.98        	44.40        
0.44         	55.85        	56.09        	56.16        	44.31        
0.43         	55.84        	56.03        	56.14        	44.46        
0.41         	55.98        	56.20        	55.96        	44.17        
0.44         	55.99        	56.22        	56.14        	44.16        
0.43         	55.75        	56.02        	56.06        	44.38        
0.44         	55.51        	56.19        	55.85        	44.54        
0.42         	55.85        	56.12        	56.18        	44.17        
0.44         	56.00        	56.22        	56.20        	44.22        
0.43         	55.63        	56.27        	55.95        	44.53        
0.44         	55.67        	55.98        	55.98        	44.46        
0.44         	55.75        	55.97        	56.05        	44.45        
0.45         	55.67        	56.02        	55.99        	44.48        
0.44         	55.71        	56.04        	56.01        	44.44        
0.44         	55.77        	56.13        	56.10        	44.37        
0.45         	55.62        	56.06        	55.95        	44.43        
0.45         	55.83        	56.04        	56.14        	44.28        
0.44         	55.88        	56.15        	56.21        	44.20        
0.45         	55.76        	56.09        	56.02        	44.30        
0.44         	55.68        	56.02        	55.99        	44.48        
0.41         	55.56        	56.14        	55.89        	44.58        
0.43         	55.84        	56.08        	56.17        	44.23        
0.44         	55.86        	56.05        	56.14        	44.39        
0.44         	55.65        	55.97        	55.97        	44.48        
0.42         	55.70        	55.95        	56.03        	44.52        
0.44         	55.77        	56.09        	55.92        	44.21        
0.44         	55.59        	56.22        	55.90        	44.59        
0.40         	55.53        	56.15        	55.84        	44.62        
0.44         	55.64        	56.05        	55.96        	44.42        
0.42         	55.78        	56.01        	56.08        	44.34        
0.44         	55.57        	56.21        	55.90        	44.51        
0.44         	55.52        	56.16        	55.85        	44.53        
0.41         	55.81        	56.08        	56.15        	44.18        
0.41         	55.82        	56.03        	56.11        	44.28        
0.45         	55.59        	55.99        	55.92        	44.51        
0.44         	55.84        	56.12        	56.16        	44.36        
0.44         	56.04        	56.14        	55.96        	44.11        
0.43         	55.80        	56.22        	56.12        	44.36        
0.44         	55.73        	56.00        	56.03        	44.51        
0.44         	55.81        	56.18        	56.15        	44.24        
0.45         	55.58        	56.13        	55.90        	44.47        
0.44         	55.59        	56.09        	55.92        	44.38        
0.43         	55.93        	56.16        	56.25        	44.45        
0.43         	55.89        	56.13        	56.21        	44.18        
0.44         	55.80        	55.99        	56.10        	44.35        
0.44         	55.76        	56.12        	56.09        	44.44        
0.44         	55.60        	56.18        	55.94        	44.52        
0.44         	55.58        	56.20        	55.88        	44.68        
0.44         	55.91        	56.16        	56.24        	44.24        
0.44         	55.86        	56.12        	56.21        	44.19        
0.43         	55.86        	56.16        	56.19        	44.36        
0.43         	55.70        	56.19        	56.04        	44.41        
0.43         	55.80        	56.04        	56.13        	44.31        
0.44         	55.85        	56.09        	56.14        	44.37        
0.44         	55.74        	56.06        	56.02        	44.44        
0.42         	55.83        	56.11        	56.15        	44.45        
0.42         	55.79        	56.11        	56.02        	44.30        
0.44         	55.62        	56.24        	55.92        	44.52        
0.44         	55.67        	55.96        	55.97        	44.47        
0.43         	55.84        	56.06        	56.16        	44.22        
0.44         	55.66        	55.97        	55.96        	44.52        
0.44         	55.86        	56.07        	56.16        	44.41        
0.45         	55.80        	56.00        	56.10        	44.23        
0.43         	55.87        	56.16        	56.17        	44.21        
0.44         	55.55        	56.19        	55.86        	44.55        
0.44         	55.78        	56.02        	56.10        	44.46        
0.44         	55.83        	56.06        	56.16        	44.45        
0.44         	55.81        	56.12        	56.14        	44.40        
0.44         	55.85        	56.14        	56.20        	44.20        
0.44         	55.87        	56.10        	56.18        	44.23        
0.41         	55.78        	56.14        	56.10        	44.37        
0.43         	55.86        	56.15        	55.98        	44.18        
0.45         	55.79        	56.10        	56.10        	44.30        
0.45         	55.75        	56.01        	56.08        	44.29        
0.43         	55.95        	56.20        	55.92        	44.12        
0.44         	55.70        	56.06        	56.00        	44.44        
0.41         	55.79        	56.00        	56.10        	44.49        
0.43         	55.87        	56.08        	56.19        	44.24        
0.42         	55.83        	56.13        	56.15        	44.27        
0.44         	55.70        	56.04        	56.03        	44.44        
0.44         	55.93        	56.18        	56.26        	44.21        
0.44         	55.89        	56.15        	56.23        	44.18        
0.43         	55.74        	55.98        	56.04        	44.43        
0.43         	55.69        	56.07        	56.01        	44.42        
0.43         	55.64        	55.95        	55.98        	44.46        
0.43         	55.88        	56.11        	56.07        	44.31        
0.43         	55.68        	56.30        	56.01        	44.49        
0.45         	55.68        	56.01        	55.98        	44.45        
0.44         	55.83        	56.07        	56.17        	44.20        
0.44         	55.89        	56.17        	56.21        	44.16        
0.45         	55.59        	56.18        	55.92        	44.49        
0.43         	55.78        	56.05        	56.10        	44.44        
0.43         	55.79        	56.01        	56.09        	44.45        
0.44         	55.81        	56.06        	56.14        	44.35        
0.43         	55.88        	56.18        	56.22        	44.19        
0.44         	55.64        	55.99        	55.96        	44.45        
0.44         	55.62        	56.20        	55.95        	44.42        
0.44         	55.59        	55.98        	55.91        	44.45        
0.44         	55.72        	55.92        	56.02        	44.54        
0.43         	55.81        	56.16        	56.14        	44.31        
0.43         	55.83        	56.09        	56.14        	44.44        
0.44         	55.71        	56.17        	56.04        	44.44        
0.43         	55.70        	56.02        	56.01        	44.43        
0.43         	55.73        	55.98        	56.02        	44.49        
0.45         	55.69        	56.02        	56.02        	44.40        
0.42         	55.79        	56.00        	56.09        	44.45        
0.42         	55.83        	56.14        	56.17        	44.22        
0.44         	55.66        	56.19        	55.98        	44.47        
0.44         	55.62        	56.06        	55.95        	44.45        
0.44         	55.99        	56.08        	55.91        	44.13        
0.44         	55.76        	56.14        	56.09        	44.29        
0.42         	55.92        	56.19        	56.17        	44.14        
0.43         	55.67        	55.90        	55.97        	44.49        
0.44         	55.71        	56.03        	56.02        	44.41        
0.44         	55.65        	56.27        	55.95        	44.52        
0.44         	55.67        	55.99        	55.98        	44.48        
0.41         	55.85        	56.10        	56.19        	44.18        
0.43         	55.86        	56.09        	56.19        	44.19        
0.43         	55.80        	56.05        	56.12        	44.26        
0.45         	55.87        	56.11        	56.14        	44.20        
0.42         	55.84        	56.07        	56.17        	44.38        
0.45         	55.84        	56.05        	56.15        	44.45        
0.43         	55.76        	56.10        	56.08        	44.43        
0.44         	55.77        	56.03        	56.08        	44.46        
0.44         	55.71        	56.26        	56.02        	44.46        
0.40         	55.71        	56.14        	56.06        	44.38        
0.43         	55.88        	56.13        	55.93        	44.14        
0.44         	55.75        	55.97        	56.06        	44.54        
0.44         	55.89        	56.11        	56.21        	44.32        
0.44         	55.72        	56.09        	56.02        	44.33        
0.45         	55.61        	56.21        	55.92        	44.47        
0.44         	55.82        	56.11        	56.14        	44.41        
0.44         	55.87        	56.09        	56.17        	44.18        
0.44         	55.82        	56.10        	56.14        	44.41        
0.42         	55.68        	56.16        	56.01        	44.41        
0.44         	55.75        	56.10        	56.08        	44.34        
0.43         	55.85        	56.06        	56.16        	44.26        
0.43         	55.77        	56.03        	56.07        	44.44        
0.43         	55.70        	56.09        	56.01        	44.45        
0.41         	55.69        	55.92        	56.01        	44.49        
0.44         	55.67        	56.30        	55.98        	44.54        
0.43         	55.80        	56.21        	56.14        	44.29        
0.44         	55.88        	56.11        	56.20        	44.20        
0.44         	55.86        	56.13        	56.20        	44.20        
0.44         	55.90        	56.13        	56.23        	44.23        
0.44         	55.68        	56.15        	56.00        	44.42        
0.43         	55.77        	56.10        	56.01        	44.35        
0.43         	55.73        	56.13        	56.06        	44.40        
0.43         	55.67        	55.93        	55.98        	44.47        
0.44         	55.85        	56.05        	56.14        	44.23        
0.43         	56.01        	56.24        	56.32        	44.20        
0.44         	55.80        	56.03        	56.11        	44.35        
0.45         	55.82        	56.05        	56.14        	44.39        
0.44         	56.00        	56.22        	56.32        	44.18        
0.43         	55.78        	56.20        	56.11        	44.35        
0.44         	55.58        	55.98        	55.90        	44.48        
0.44         	55.66        	56.18        	55.98        	44.49        
0.43         	55.82        	56.40        	56.14        	44.45        
0.44         	55.71        	56.05        	56.02        	44.44        
0.45         	55.79        	56.02        	56.11        	44.32        
0.45         	55.62        	56.26        	55.94        	44.51        
0.44         	55.76        	56.12        	56.10        	44.35        
0.42         	55.82        	56.08        	56.16        	44.22        
0.44         	55.73        	56.07        	56.06        	44.41        
0.43         	55.80        	56.08        	56.11        	44.40        
0.44         	55.74        	56.01        	56.03        	44.48        
0.44         	55.73        	56.17        	56.05        	44.37        
0.43         	55.79        	55.97        	56.08        	44.46        
0.45         	55.70        	55.98        	55.99        	44.46        
0.44         	55.85        	56.08        	56.18        	44.22        
0.42         	55.63        	56.04        	55.95        	44.45        
0.43         	55.74        	55.97        	56.01        	44.48        
0.40         	55.73        	56.02        	56.05        	44.25        
0.43         	55.90        	56.15        	56.22        	44.28        
0.44         	55.64        	56.07        	55.96        	44.50        
0.44         	55.82        	56.07        	56.14        	44.21        
0.44         	55.76        	56.02        	56.06        	44.47        
0.44         	55.66        	56.27        	55.96        	44.49        
0.45         	55.68        	56.28        	55.98        	44.54        
0.44         	55.88        	56.15        	56.22        	44.20        
0.45         	55.82        	56.04        	56.15        	44.39        
0.44         	55.75        	56.03        	56.05        	44.39        
0.44         	55.64        	56.00        	55.94        	44.48        
0.43         	55.68        	56.01        	55.94        	44.40        
0.44         	55.75        	56.10        	56.06        	44.39        
0.44         	55.95        	56.14        	55.95        	44.11        
0.44         	55.93        	56.18        	55.97        	44.13        
0.45         	55.97        	55.92        	55.91        	44.14        
0.44         	55.77        	56.04        	56.10        	44.26        
0.43         	55.89        	56.11        	56.21        	44.45        
0.44         	55.64        	56.20        	55.96        	44.44        
0.45         	55.62        	56.18        	55.93        	44.51        
0.43         	55.77        	56.00        	56.08        	44.27        
0.43         	55.66        	56.11        	55.98        	44.43        
0.44         	55.61        	56.04        	55.93        	44.49        
0.43         	55.65        	56.24        	55.95        	44.60        
0.44         	55.75        	56.16        	56.08        	44.29        
0.42         	55.80        	56.05        	56.12        	44.23        
0.41         	55.59        	56.01        	55.93        	44.46        
0.44         	55.78        	56.12        	56.12        	44.39        
0.46         	55.82        	55.99        	56.11        	44.48        
0.44         	55.56        	56.23        	55.89        	44.49        
0.44         	55.71        	56.04        	55.95        	44.39        
0.44         	55.69        	56.05        	56.00        	44.45        
0.42         	55.89        	56.14        	56.21        	44.21        
0.43         	55.63        	56.28        	55.94        	44.47        
0.44         	55.90        	56.17        	56.00        	44.13        
0.45         	55.88        	56.18        	56.19        	44.27        
0.43         	55.76        	56.03        	56.05        	44.45        
0.44         	55.80        	56.00        	56.08        	44.49        
0.43         	55.67        	56.04        	55.98        	44.48        
0.43         	55.89        	56.12        	56.22        	44.20        
0.45         	55.83        	56.15        	56.14        	44.46        
0.44         	55.85        	56.08        	56.18        	44.30        
0.45         	55.85        	56.07        	56.16        	44.24        
0.44         	55.76        	56.09        	56.03        	44.28        
0.44         	55.84        	56.10        	56.19        	44.18        
0.42         	55.79        	56.00        	56.09        	44.46        
0.44         	55.61        	56.01        	55.92        	44.45        
0.42         	55.65        	56.13        	55.98        	44.41        
0.41         	55.90        	56.20        	56.23        	44.20        
0.43         	55.85        	56.11        	56.19        	44.19        
0.44         	55.71        	56.23        	56.01        	44.50        
0.45         	55.82        	56.03        	56.13        	44.44        
0.44         	55.79        	56.10        	56.12        	44.44        
0.44         	55.89        	56.11        	56.21        	44.21        
0.44         	55.64        	56.26        	55.96        	44.54        
0.44         	55.68        	56.02        	56.00        	44.42        
0.43         	55.71        	55.96        	56.01        	44.52        
0.45         	55.68        	56.08        	55.98        	44.52        
0.44         	55.60        	56.22        	55.91        	44.52        
0.44         	55.86        	56.10        	56.19        	44.28        
0.44         	55.71        	55.95        	55.99        	44.46        
0.42         	55.77        	56.07        	56.09        	44.43        
0.39         	55.66        	56.09        	55.99        	44.43        
0.44         	55.69        	56.04        	55.94        	44.39        
0.40         	55.72        	56.21        	56.04        	44.39        
0.44         	55.73        	55.97        	56.02        	44.49        
0.44         	55.63        	56.26        	55.94        	44.51        
0.42         	55.59        	56.21        	55.93        	44.49        
0.44         	55.61        	56.26        	55.93        	44.55        
0.43         	55.91        	56.14        	56.24        	44.21        
0.44         	55.92        	56.16        	56.22        	44.14        
0.44         	55.91        	56.13        	56.23        	44.23        
0.44         	55.54        	56.13        	55.86        	44.65        
0.45         	55.88        	56.10        	56.20        	44.40        
0.44         	55.83        	56.14        	56.15        	44.20        
0.45         	55.86        	56.10        	56.18        	44.27        
0.45         	55.88        	56.11        	56.19        	44.22        
0.44         	55.62        	56.00        	55.94        	44.47        
0.45         	55.82        	56.04        	56.14        	44.39        
0.44         	55.66        	56.01        	55.98        	44.44        
0.44         	55.80        	56.11        	55.99        	44.30        
0.44         	55.67        	56.05        	55.99        	44.47        
0.44         	55.67        	56.21        	55.98        	44.50        
0.45         	55.62        	56.04        	55.94        	44.47        
0.44         	55.69        	55.96        	55.99        	44.53        
0.44         	55.61        	56.21        	55.93        	44.51        
0.44         	55.77        	56.08        	56.06        	44.38        
